slug,src,alt,credit,credit_url,license,license_url,width,height
ragdoll,/breeds/ragdoll-cat-cost/hero.jpg,ragdoll cat,Pexels,https://www.pexels.com/photo/blue-eyed-ragdoll-cat-portrait-in-soft-light-37252502/,"Pexels License (free for commercial use, attribution appreciated)",https://www.pexels.com/license/,1600,2399
rottweiler,/breeds/rottweiler-cost/hero.jpg,rottweiler dog, — Karen Arnold,,CC0 Public Domain,,640,427
russian-blue,/breeds/russian-blue-cost/hero.jpg,russian blue cat,Free Stock (Pexels/Unsplash/Pixabay/Rawpixel),,User-provided (free stock per attribution.csv),,1600,1067
saint-bernard,/breeds/saint-bernard-cost/hero.jpg,saint bernard dog,Free Stock (Pexels/Unsplash/Pixabay/Rawpixel),,User-provided (free stock per attribution.csv),,1600,900
savannah,/breeds/savannah-cat-cost/hero.jpg,savannah cat,Free Stock (Pexels/Unsplash/Pixabay/Rawpixel),,User-provided (free stock per attribution.csv),,1600,2133
scottish-fold,/breeds/scottish-fold-cat-cost/hero.jpg,scottish fold cat, — Richard Blom,,CC0 Public Domain,,853,1280
shiba-inu,/breeds/shiba-inu-cost/hero.jpg,shiba inu dog,Free Stock (Pexels/Unsplash/Pixabay/Rawpixel),,User-provided (free stock per attribution.csv),,1600,2400
shih-tzu,/breeds/shih-tzu-cost/hero.jpg,shih tzu dog, — Marcelo RosaMelo,,CC0,,1600,2400
siamese,/breeds/siamese-cat-cost/hero.jpg,siamese cat, — Jean Beaufort,,CC0 Public Domain,,1600,1067
siberian,/breeds/siberian-cat-cost/hero.jpg,siberian cat,Pexels,https://www.pexels.com/photo/fluffy-siberian-cat-with-striking-green-eyes-36697978/,"Pexels License (free for commercial use, attribution appreciated)",https://www.pexels.com/license/,1600,1999
siberian-husky,/breeds/siberian-husky-cost/hero.jpg,siberian husky dog, — Wolf Art,,Pexels Content License,,1600,1066
sphynx,/breeds/sphynx-cat-cost/hero.jpg,sphynx cat, — Jakub Hałun,,CC BY-SA 4.0,,1600,2400
vizsla,/breeds/vizsla-cost/hero.jpg,vizsla dog,Free Stock (Pexels/Unsplash/Pixabay/Rawpixel),,User-provided (free stock per attribution.csv),,1600,2000
west-highland-white-terrier,/breeds/west-highland-white-terrier-cost/hero.jpg,west highland white terrier dog,Pexels,https://www.pexels.com/photo/cute-west-highland-white-terrier-in-spring-flowers-31943772/,"Pexels License (free for commercial use, attribution appreciated)",https://www.pexels.com/license/,1600,1022
yorkshire-terrier,/breeds/yorkshire-terrier-cost/hero.jpg,yorkshire terrier dog, — photostockeditor,,Pexels Content License,,1600,839
norwegian-forest-cat,/breeds/norwegian-forest-cat-cost/hero.jpg,norwegian forest cat,Danniel Corbit / Pexels,https://www.pexels.com/photo/majestic-norwegian-forest-cat-in-vibrant-spring-garden-31739872/,"Pexels License (free for commercial use, attribution appreciated)",https://www.pexels.com/license/,,
savannah-cat,/breeds/savannah-cat-cost/hero.jpg,savannah cat,Pinkinesss / Pexels,https://www.pexels.com/photo/relaxed-savannah-cat-lying-on-floor-indoors-31231397/,"Pexels License (free for commercial use, attribution appreciated)",https://www.pexels.com/license/,,
