slug,src,alt,credit,credit_url,license,license_url,width,height
abyssinian,/breeds/abyssinian-cost/hero.jpg,abyssinian cat,Free Stock (Pexels/Unsplash/Pixabay/Rawpixel),,User-provided (free stock per attribution.csv),,1600,2400
american-shorthair,/breeds/american-shorthair-cost/hero.jpg,american shorthair cat,Free Stock (Pexels/Unsplash/Pixabay/Rawpixel),,User-provided (free stock per attribution.csv),,1600,2400
australian-cattle-dog,/breeds/australian-cattle-dog-cost/hero.jpg,australian cattle dog dog, — Guilbrynski,,CC0,,1600,1067
australian-shepherd,/breeds/australian-shepherd-cost/hero.jpg,australian shepherd dog, — Joselodos,,CC0,,1600,1067
basset-hound,/breeds/basset-hound-cost/hero.jpg,basset hound dog,Pexels,https://www.pexels.com/photo/portrait-of-a-contemplative-basset-hound-dog-35206655/,"Pexels License (free for commercial use, attribution appreciated)",https://www.pexels.com/license/,1600,2000
beagle,/breeds/beagle-cost/hero.jpg,beagle dog,Pexels,https://www.pexels.com/photo/close-up-portrait-of-a-beagle-dog-face-31086486/,"Pexels License (free for commercial use, attribution appreciated)",https://www.pexels.com/license/,1600,1060
belgian-malinois,/breeds/belgian-malinois-cost/hero.jpg,belgian malinois dog,Free Stock (Pexels/Unsplash/Pixabay/Rawpixel),,User-provided (free stock per attribution.csv),,1600,1067
bengal,/breeds/bengal-cat-cost/hero.jpg,bengal cat, — Heikki Siltala from Finland,,CC BY 2.0,,1600,2013
bernedoodle,/breeds/bernedoodle-cost/hero.jpg,bernedoodle dog,Free Stock (Pexels/Unsplash/Pixabay/Rawpixel),,User-provided (free stock per attribution.csv),,1600,2400
bernese-mountain-dog,/breeds/bernese-mountain-dog-cost/hero.jpg,bernese mountain dog dog, — BunbunYU,,CC0,,1600,2395
bichon-frise,/breeds/bichon-frise-cost/hero.jpg,bichon frise dog,Pexels,https://www.pexels.com/photo/bichon-frise-in-scarf-17589407/,"Pexels License (free for commercial use, attribution appreciated)",https://www.pexels.com/license/,1600,1067
border-collie,/breeds/border-collie-cost/hero.jpg,border collie dog, — Michelle Buntin,,Public domain,,1600,900
boston-terrier,/breeds/boston-terrier-cost/hero.jpg,boston terrier dog,Pexels,https://www.pexels.com/photo/cheerful-boston-terrier-dog-close-up-portrait-28541201/,"Pexels License (free for commercial use, attribution appreciated)",https://www.pexels.com/license/,1600,900
boxer,/breeds/boxer-cost/hero.jpg,boxer dog, — Mostafameraji,,CC0,,1600,1067
british-shorthair,/breeds/british-shorthair-cat-cost/hero.jpg,british shorthair cat, — Alexas_Fotos,,CC0,,1600,2401
bulldog,/breeds/bulldog-cost/hero.jpg,bulldog dog,Pexels,https://www.pexels.com/photo/close-up-photo-of-a-dog-12251710/,"Pexels License (free for commercial use, attribution appreciated)",https://www.pexels.com/license/,1600,2188
cane-corso,/breeds/cane-corso-cost/hero.jpg,cane corso dog, — Dmitriy Savin,,Pexels Content License,,1280,853
cavalier-king-charles,/breeds/cavalier-king-charles-cost/hero.jpg,cavalier king charles dog, — Karelj,,Public domain,,1600,1067
cavapoo,/breeds/cavapoo-cost/hero.jpg,cavapoo dog,Free Stock (Pexels/Unsplash/Pixabay/Rawpixel),,User-provided (free stock per attribution.csv),,1600,2133
chihuahua,/breeds/chihuahua-cost/hero.jpg,chihuahua dog, — Caterinarufo,,Public domain,,1600,2011
cockapoo,/breeds/cockapoo-cost/hero.jpg,cockapoo dog,Pexels,https://www.pexels.com/photo/close-up-of-cockapoo-dog-16102951/,"Pexels License (free for commercial use, attribution appreciated)",https://www.pexels.com/license/,1600,2089
cocker-spaniel,/breeds/cocker-spaniel-cost/hero.jpg,cocker spaniel dog, — Unknown authorUnknown author,,Public domain,,1600,1066
dachshund,/breeds/dachshund-cost/hero.jpg,dachshund dog, — Vinicius Cezario,,Pexels Content License,,1600,1067
devon-rex,/breeds/devon-rex-cost/hero.jpg,devon rex cat,Pexels,https://www.pexels.com/photo/close-up-of-a-big-eyed-devon-rex-cat-23427643/,"Pexels License (free for commercial use, attribution appreciated)",https://www.pexels.com/license/,1600,2400
doberman,/breeds/doberman-cost/hero.jpg,doberman dog, — Joaquin Reyes Ramos,,Pexels Content License,,1600,2400
domestic-shorthair,/breeds/domestic-shorthair-cost/hero.jpg,domestic shorthair cat,Pexels,https://www.pexels.com/photo/close-up-portrait-of-a-domestic-tabby-cat-35932784/,"Pexels License (free for commercial use, attribution appreciated)",https://www.pexels.com/license/,1600,2400
exotic-shorthair,/breeds/exotic-shorthair-cost/hero.jpg,exotic shorthair cat,Pexels,https://www.pexels.com/photo/adorable-exotic-shorthair-cat-portrait-35316397/,"Pexels License (free for commercial use, attribution appreciated)",https://www.pexels.com/license/,1600,1067
french-bulldog,/breeds/french-bulldog-cost/hero.jpg,french bulldog dog,Pexels,https://www.pexels.com/photo/charming-french-bulldog-portrait-with-expressive-eyes-32612263/,"Pexels License (free for commercial use, attribution appreciated)",https://www.pexels.com/license/,1600,1067
german-shepherd,/breeds/german-shepherd-cost/hero.jpg,german shepherd dog,Pexels,https://www.pexels.com/photo/portrait-of-an-alert-german-shepherd-dog-36625194/,"Pexels License (free for commercial use, attribution appreciated)",https://www.pexels.com/license/,1600,2406
german-shorthaired-pointer,/breeds/german-shorthaired-pointer-cost/hero.jpg,german shorthaired pointer dog,Pexels,https://www.pexels.com/photo/happy-german-shorthaired-pointer-dog-portrait-37005943/,"Pexels License (free for commercial use, attribution appreciated)",https://www.pexels.com/license/,1600,1067
golden-retriever,/breeds/golden-retriever-cost/hero.jpg,golden retriever dog,Pexels,https://www.pexels.com/photo/golden-retriever-portrait-against-blue-background-35439661/,"Pexels License (free for commercial use, attribution appreciated)",https://www.pexels.com/license/,1600,2125
goldendoodle,/breeds/goldendoodle-cost/hero.jpg,goldendoodle dog,Free Stock (Pexels/Unsplash/Pixabay/Rawpixel),,User-provided (free stock per attribution.csv),,1600,2400
great-dane,/breeds/great-dane-cost/hero.jpg,great dane dog, — Karen Arnold,,CC0,,1280,853
great-pyrenees,/breeds/great-pyrenees-cost/hero.jpg,great pyrenees dog,Pexels,https://www.pexels.com/photo/close-up-shot-of-a-dog-14281603/,"Pexels License (free for commercial use, attribution appreciated)",https://www.pexels.com/license/,1600,2400
havanese,/breeds/havanese-cost/hero.jpg,havanese dog,Free Stock (Pexels/Unsplash/Pixabay/Rawpixel),,User-provided (free stock per attribution.csv),,1600,2577
labradoodle,/breeds/labradoodle-cost/hero.jpg,labradoodle dog,Pexels,https://www.pexels.com/photo/close-up-portrait-of-a-curious-labradoodle-31734358/,"Pexels License (free for commercial use, attribution appreciated)",https://www.pexels.com/license/,1600,1199
labrador-retriever,/breeds/labrador-retriever-cost/hero.jpg,labrador retriever dog,Pexels,https://www.pexels.com/photo/close-up-portrait-of-a-sad-labrador-retriever-33844764/,"Pexels License (free for commercial use, attribution appreciated)",https://www.pexels.com/license/,1600,1600
maine-coon,/breeds/maine-coon-cat-cost/hero.jpg,maine coon cat,Pexels,https://www.pexels.com/photo/close-up-of-a-maine-coon-cat-s-face-32126012/,"Pexels License (free for commercial use, attribution appreciated)",https://www.pexels.com/license/,1600,1067
maltese,/breeds/maltese-cost/hero.jpg,maltese dog,Free Stock (Pexels/Unsplash/Pixabay/Rawpixel),,User-provided (free stock per attribution.csv),,1600,2000
mastiff,/breeds/mastiff-cost/hero.jpg,mastiff dog, — Sefa,,Pexels Content License,,1600,956
miniature-schnauzer,/breeds/miniature-schnauzer-cost/hero.jpg,miniature schnauzer dog,Pexels,https://www.pexels.com/photo/portrait-of-a-schnauzer-dog-with-distinctive-beard-35102553/,"Pexels License (free for commercial use, attribution appreciated)",https://www.pexels.com/license/,1600,2000
mixed-breed,/breeds/mixed-breed-cost/hero.jpg,mixed breed dog,Pexels,https://www.pexels.com/photo/close-up-portrait-of-a-mixed-breed-dog-35511893/,"Pexels License (free for commercial use, attribution appreciated)",https://www.pexels.com/license/,1600,1067
munchkin,/breeds/munchkin-cost/hero.jpg,munchkin cat,Free Stock (Pexels/Unsplash/Pixabay/Rawpixel),,User-provided (free stock per attribution.csv),,1600,1067
newfoundland,/breeds/newfoundland-cost/hero.jpg,newfoundland dog,Unsplash,https://unsplash.com/photos/a-large-black-dog-looks-happy-Bz6nPi4N_Cg,"Unsplash License (free for commercial use, attribution appreciated)",https://unsplash.com/license,1600,1067
norwegian-forest,/breeds/norwegian-forest-cat-cost/hero.jpg,norwegian forest cat,Free Stock (Pexels/Unsplash/Pixabay/Rawpixel),,User-provided (free stock per attribution.csv),,1600,1073
pembroke-welsh-corgi,/breeds/pembroke-welsh-corgi-cost/hero.jpg,pembroke welsh corgi dog,Pexels,https://www.pexels.com/photo/a-cute-brown-pembroke-welsh-corgi-on-the-ground-4943812/,"Pexels License (free for commercial use, attribution appreciated)",https://www.pexels.com/license/,1600,2400
persian,/breeds/persian-cat-cost/hero.jpg,persian cat,Pexels,https://www.pexels.com/photo/charming-persian-cat-with-striking-yellow-eyes-31322541/,"Pexels License (free for commercial use, attribution appreciated)",https://www.pexels.com/license/,1600,2400
pitbull,/breeds/pitbull-cost/hero.jpg,pitbull dog, — Nicholas Espinosa,,Pexels Content License,,1600,2400
pomeranian,/breeds/pomeranian-cost/hero.jpg,pomeranian dog, — Biswarup Ganguly,,CC BY 3.0,,1600,2270
poodle,/breeds/poodle-cost/hero.jpg,poodle dog,Pexels,https://www.pexels.com/photo/chocolate-brown-poodle-portrait-outdoors-33390714/,"Pexels License (free for commercial use, attribution appreciated)",https://www.pexels.com/license/,1600,1068
pug,/breeds/pug-cost/hero.jpg,pug dog, — Wikivato at English Wikipedia,,Public domain,,1000,667
