breed_slug,file,source,source_url,author,license,license_url,width,height,downloaded_at
bernedoodle,bd_4.jpg,Pexels,https://www.pexels.com/photo/a-dog-on-the-grass-8195257/,Rob Waller,"Pexels License (free for commercial use, attribution appreciated)",https://www.pexels.com/license/,,,
bernedoodle,bd_5.jpg,Pexels,https://www.pexels.com/photo/black-and-white-poodle-puppy-1458924/,Poodles2Doodles,"Pexels License (free for commercial use, attribution appreciated)",https://www.pexels.com/license/,,,
bernese-mountain-dog,bmd_1.jpg,Free Stock (Pexels/Unsplash/Pixabay/Rawpixel),,,,,,,
bernese-mountain-dog,bmd_2.jpg,Free Stock (Pexels/Unsplash/Pixabay/Rawpixel),,,,,,,
bernese-mountain-dog,bmd_3.jpg,Free Stock (Pexels/Unsplash/Pixabay/Rawpixel),,,,,,,
bernese-mountain-dog,bmd_4.jpg,Free Stock (Pexels/Unsplash/Pixabay/Rawpixel),,,,,,,
bernese-mountain-dog,bmd_5.jpg,Free Stock (Pexels/Unsplash/Pixabay/Rawpixel),,,,,,,
border-collie,bc_1.jpg,Free Stock (Pexels/Unsplash/Pixabay/Rawpixel),,,,,,,
border-collie,bc_2.jpg,Free Stock (Pexels/Unsplash/Pixabay/Rawpixel),,,,,,,
border-collie,bc_3.jpg,Free Stock (Pexels/Unsplash/Pixabay/Rawpixel),,,,,,,
border-collie,bc_4.jpg,Free Stock (Pexels/Unsplash/Pixabay/Rawpixel),,,,,,,
border-collie,bc_5.jpg,Free Stock (Pexels/Unsplash/Pixabay/Rawpixel),,,,,,,
boston-terrier,bt_1.jpg,Free Stock (Pexels/Unsplash/Pixabay/Rawpixel),,,,,,,
boston-terrier,bt_2.jpg,Free Stock (Pexels/Unsplash/Pixabay/Rawpixel),,,,,,,
boston-terrier,bt_3.jpg,Free Stock (Pexels/Unsplash/Pixabay/Rawpixel),,,,,,,
boston-terrier,bt_4.jpg,Free Stock (Pexels/Unsplash/Pixabay/Rawpixel),,,,,,,
boston-terrier,bt_5.jpg,Free Stock (Pexels/Unsplash/Pixabay/Rawpixel),,,,,,,
boxer,boxer_1.jpg,Free Stock (Pexels/Unsplash/Pixabay/Rawpixel),,,,,,,
boxer,boxer_2.jpg,Free Stock (Pexels/Unsplash/Pixabay/Rawpixel),,,,,,,
boxer,boxer_3.jpg,Free Stock (Pexels/Unsplash/Pixabay/Rawpixel),,,,,,,
boxer,boxer_4.jpg,Free Stock (Pexels/Unsplash/Pixabay/Rawpixel),,,,,,,
boxer,boxer_5.jpg,Free Stock (Pexels/Unsplash/Pixabay/Rawpixel),,,,,,,
british-shorthair,bs_1.jpg,Free Stock (Pexels/Unsplash/Pixabay/Rawpixel),,,,,,,
british-shorthair,bs_2.jpg,Free Stock (Pexels/Unsplash/Pixabay/Rawpixel),,,,,,,
british-shorthair,bs_3.jpg,Free Stock (Pexels/Unsplash/Pixabay/Rawpixel),,,,,,,
british-shorthair,bs_4.jpg,Free Stock (Pexels/Unsplash/Pixabay/Rawpixel),,,,,,,
british-shorthair,bs_5.jpg,Free Stock (Pexels/Unsplash/Pixabay/Rawpixel),,,,,,,
bulldog,bulldog_1.jpg,Free Stock (Pexels/Unsplash/Pixabay/Rawpixel),,,,,,,
bulldog,bulldog_2.jpg,Free Stock (Pexels/Unsplash/Pixabay/Rawpixel),,,,,,,
bulldog,bulldog_3.jpg,Free Stock (Pexels/Unsplash/Pixabay/Rawpixel),,,,,,,
bulldog,bulldog_4.jpg,Free Stock (Pexels/Unsplash/Pixabay/Rawpixel),,,,,,,
bulldog,bulldog_5.jpg,Free Stock (Pexels/Unsplash/Pixabay/Rawpixel),,,,,,,
cane-corso,cc_1.jpg,Free Stock (Pexels/Unsplash/Pixabay/Rawpixel),,,,,,,
cane-corso,cc_2.jpg,Free Stock (Pexels/Unsplash/Pixabay/Rawpixel),,,,,,,
cane-corso,cc_3.jpg,Free Stock (Pexels/Unsplash/Pixabay/Rawpixel),,,,,,,
cane-corso,cc_4.jpg,Free Stock (Pexels/Unsplash/Pixabay/Rawpixel),,,,,,,
cane-corso,cc_5.jpg,Free Stock (Pexels/Unsplash/Pixabay/Rawpixel),,,,,,,
cavalier-king-charles,ckc_1.jpg,Free Stock (Pexels/Unsplash/Pixabay/Rawpixel),,,,,,,
cavalier-king-charles,ckc_2.jpg,Free Stock (Pexels/Unsplash/Pixabay/Rawpixel),,,,,,,
cavalier-king-charles,ckc_3.jpg,Free Stock (Pexels/Unsplash/Pixabay/Rawpixel),,,,,,,
cavalier-king-charles,ckc_4.jpg,Free Stock (Pexels/Unsplash/Pixabay/Rawpixel),,,,,,,
cavalier-king-charles,ckc_5.jpg,Free Stock (Pexels/Unsplash/Pixabay/Rawpixel),,,,,,,
cavapoo,cavapoo_1.jpg,Pexels,https://www.pexels.com/photo/adorable-cavapoo-puppy-in-lush-green-meadow-33336009/,Christy Day,"Pexels License (free for commercial use, attribution appreciated)",https://www.pexels.com/license/,,,
cavapoo,cavapoo_2.jpg,Pexels,https://www.pexels.com/photo/energetic-cavapoo-dog-running-with-toy-on-pathway-29296765/,Olavi Anttila,"Pexels License (free for commercial use, attribution appreciated)",https://www.pexels.com/license/,,,
cavapoo,cavapoo_3.jpg,Pexels,https://www.pexels.com/photo/close-up-of-cavapoo-dog-16632809/,Maheshwar Reddy,"Pexels License (free for commercial use, attribution appreciated)",https://www.pexels.com/license/,,,
cavapoo,cavapoo_4.jpg,Pexels,https://www.pexels.com/photo/cavapoo-playing-with-ball-in-sunny-field-29296768/,Olavi Anttila,"Pexels License (free for commercial use, attribution appreciated)",https://www.pexels.com/license/,,,
cavapoo,cavapoo_5.jpg,Pexels,https://www.pexels.com/photo/adorable-cavapoo-dog-strolling-outdoors-29296772/,Olavi Anttila,"Pexels License (free for commercial use, attribution appreciated)",https://www.pexels.com/license/,,,
chihuahua,chihuahua_1.jpg,Free Stock (Pexels/Unsplash/Pixabay/Rawpixel),,,,,,,
chihuahua,chihuahua_2.jpg,Free Stock (Pexels/Unsplash/Pixabay/Rawpixel),,,,,,,
chihuahua,chihuahua_3.jpg,Free Stock (Pexels/Unsplash/Pixabay/Rawpixel),,,,,,,
chihuahua,chihuahua_4.jpg,Free Stock (Pexels/Unsplash/Pixabay/Rawpixel),,,,,,,
chihuahua,chihuahua_5.jpg,Free Stock (Pexels/Unsplash/Pixabay/Rawpixel),,,,,,,
cocker-spaniel,cs_1.jpg,Free Stock (Pexels/Unsplash/Pixabay/Rawpixel),,,,,,,
cocker-spaniel,cs_2.jpg,Free Stock (Pexels/Unsplash/Pixabay/Rawpixel),,,,,,,
cocker-spaniel,cs_3.jpg,Free Stock (Pexels/Unsplash/Pixabay/Rawpixel),,,,,,,
cocker-spaniel,cs_4.jpg,Free Stock (Pexels/Unsplash/Pixabay/Rawpixel),,,,,,,
cocker-spaniel,cs_5.jpg,Free Stock (Pexels/Unsplash/Pixabay/Rawpixel),,,,,,,
dachshund,dachshund_1.jpg,Pexels,https://www.pexels.com/photo/cute-dachshund-dog-in-lush-green-grass-32287765/,Sherry,"Pexels License (free for commercial use, attribution appreciated)",https://www.pexels.com/license/,,,
dachshund,dachshund_2.jpg,Free Stock (Pexels/Unsplash/Pixabay/Rawpixel),,,,,,,
dachshund,dachshund_3.jpg,Free Stock (Pexels/Unsplash/Pixabay/Rawpixel),,,,,,,
dachshund,dachshund_4.jpg,Free Stock (Pexels/Unsplash/Pixabay/Rawpixel),,,,,,,
dachshund,dachshund_5.jpg,Free Stock (Pexels/Unsplash/Pixabay/Rawpixel),,,,,,,
doberman,doberman_1.jpg,Free Stock (Pexels/Unsplash/Pixabay/Rawpixel),,,,,,,
doberman,doberman_2.jpg,Free Stock (Pexels/Unsplash/Pixabay/Rawpixel),,,,,,,
